Pair,Sector,Date,Position,Spread,ZScore,PnL_Net,Cum_PnL,Value
TECHM.NS/MPHASIS.NS,IT,2022-05-27,1.0,-70.54439742417242,-0.3893291331641173,31251.672440599443,167123.90382177336,1417123.9038217734
TECHM.NS/MPHASIS.NS,IT,2022-05-30,1.0,-78.22436367450382,-0.601228241977482,21498.362463799924,188622.26628557328,1438622.2662855734
TECHM.NS/MPHASIS.NS,IT,2022-05-31,1.0,-67.26024459070891,-0.2564806674720776,15920.847715869082,204543.11400144236,1454543.1140014424
TECHM.NS/MPHASIS.NS,IT,2022-06-01,1.0,-69.39841564556241,-0.30771809223810487,-21359.72264068398,183183.39136075837,1433183.3913607583
TECHM.NS/MPHASIS.NS,IT,2022-06-02,1.0,-92.58885707855234,-0.9893148072640805,-13227.880388216043,169955.51097254234,1419955.5109725422
TECHM.NS/MPHASIS.NS,IT,2022-06-03,1.0,-84.19932950928887,-0.712782936369798,5749.598562086516,175705.10953462886,1425705.109534629
TECHM.NS/MPHASIS.NS,IT,2022-06-06,1.0,-74.99867750895214,-0.41250062555371947,2708.733591502019,178413.84312613087,1428413.8431261308
TECHM.NS/MPHASIS.NS,IT,2022-06-07,1.0,-73.77155432950326,-0.35558455440384584,-7992.140616394497,170421.70250973638,1420421.7025097364
TECHM.NS/MPHASIS.NS,IT,2022-06-08,1.0,-85.49774365630219,-0.7051898460896068,-10410.952316570714,160010.75019316567,1410010.7501931656
TECHM.NS/MPHASIS.NS,IT,2022-06-09,1.0,-102.30721732892175,-1.2090580186982482,-124.71469167647668,159886.03550148918,1409886.0355014892
TECHM.NS/MPHASIS.NS,IT,2022-06-10,1.0,-91.67729332918884,-0.8497604165483037,-12623.260731584318,147262.77476990488,1397262.7747699048
TECHM.NS/MPHASIS.NS,IT,2022-06-13,1.0,-81.98463118631355,-0.5219520387640743,-32326.252280602097,114936.52248930278,1364936.5224893028
TECHM.NS/MPHASIS.NS,IT,2022-06-14,1.0,-76.27358556789534,-0.31740742903708585,-11552.921400904002,103383.60108839878,1353383.6010883988
TECHM.NS/MPHASIS.NS,IT,2022-06-15,1.0,-98.19151633409649,-1.0211573262361768,-20371.73567275731,83011.86541564147,1333011.8654156416
TECHM.NS/MPHASIS.NS,IT,2022-06-16,0.0,-123.83774670655475,-1.8373559000940085,-50576.9143752911,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-17,0.0,-84.86416399518396,-0.5083338275720488,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-20,0.0,-66.92305412471035,0.10569004960474192,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-21,0.0,-93.0330553001321,-0.7806069472780861,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-22,0.0,-110.8684761165789,-1.3599052423656357,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-23,0.0,-111.27786359958986,-1.3489501088671219,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-24,0.0,-98.97351196461341,-0.9255194441041321,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-27,0.0,-109.09312766222149,-1.2398994999432003,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-28,0.0,-110.90677463396105,-1.3038854926858598,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-29,0.0,-87.37130230625075,-0.5282146959266143,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-06-30,0.0,-96.78480071359081,-0.8278363529266266,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-01,0.0,-65.9118864726637,0.1785249992817872,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-04,0.0,-69.92294962011295,0.04780959363293537,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-05,0.0,-61.78085948943635,0.3215750653139624,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-06,0.0,-70.54762121243937,0.03793467023037119,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-07,0.0,-63.67728642874454,0.2530066019829757,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-08,0.0,-68.45414686666606,0.08662691570614708,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-11,0.0,-71.30010544528682,-0.009386765226283126,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-12,0.0,-64.64045257629493,0.2384149061204466,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-13,0.0,-63.30340633344986,0.3129409197736174,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-14,0.0,-60.31099489910605,0.44082029711735476,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-15,0.0,-74.77585404993954,-0.04329732780028853,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-18,0.0,-53.10189724333543,0.7752141776475544,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-19,0.0,-48.22424635658581,0.9621642377956754,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-20,0.0,-62.24192958874926,0.4445510064764645,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-21,0.0,-48.56317543663681,0.936327082173177,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-22,0.0,-59.16840917471711,0.5244653687720486,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-25,0.0,-88.47911575352941,-0.6249331928674584,-0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-26,0.0,-43.19768449766764,1.1236778904420988,0.0,32434.951040350374,1282434.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-27,-1.0,-52.94379045312587,0.7182435567134691,-3125.0,29309.951040350374,1279309.9510403504
TECHM.NS/MPHASIS.NS,IT,2022-07-28,-1.0,-34.11252083943987,1.4361018161020367,-32895.404283161384,-3585.4532428110106,1246414.546757189
TECHM.NS/MPHASIS.NS,IT,2022-07-29,-1.0,-51.56627074484004,0.717952194280595,3606.0945690394524,20.641326228441812,1250020.6413262284
TECHM.NS/MPHASIS.NS,IT,2022-08-01,-1.0,-53.32372210608776,0.6329323304845701,412.5664502546976,433.2077764831394,1250433.2077764831
TECHM.NS/MPHASIS.NS,IT,2022-08-02,-1.0,-58.433368738862214,0.4272969576533314,14445.817931821332,14879.02570830447,1264879.0257083045
TECHM.NS/MPHASIS.NS,IT,2022-08-03,-1.0,-56.570492889209845,0.49322916259549543,-14856.560533676637,22.46517462783413,1250022.4651746277
TECHM.NS/MPHASIS.NS,IT,2022-08-04,-1.0,-75.24523045260844,-0.2503843287747766,8774.615503571918,8797.080678199753,1258797.0806781997
TECHM.NS/MPHASIS.NS,IT,2022-08-05,-1.0,-83.21180026161983,-0.5583708072293924,3156.102708471093,11953.183386670846,1261953.183386671
TECHM.NS/MPHASIS.NS,IT,2022-08-08,-1.0,-83.05260099621864,-0.5400004780442569,997.3272843167371,12950.510670987584,1262950.5106709877
TECHM.NS/MPHASIS.NS,IT,2022-08-10,-1.0,-73.02199560308748,-0.12418273585508477,-4806.790341257341,8143.720329730242,1258143.7203297303
TECHM.NS/MPHASIS.NS,IT,2022-08-11,-1.0,-79.15107819237937,-0.3685100505589371,-11374.61443889446,-3230.8941091642173,1246769.1058908359
TECHM.NS/MPHASIS.NS,IT,2022-08-12,-1.0,-67.69354439421818,0.08867739410113282,1066.317318858393,-2164.576790305824,1247835.4232096942
TECHM.NS/MPHASIS.NS,IT,2022-08-16,-1.0,-48.888968245942124,0.829334141995668,-18753.95187524953,-20918.528665555357,1229081.4713344446
TECHM.NS/MPHASIS.NS,IT,2022-08-17,-1.0,-46.788570686813046,0.8924102402462539,-18652.532403099085,-39571.06106865444,1210428.9389313455
TECHM.NS/MPHASIS.NS,IT,2022-08-18,-1.0,-49.081435422829145,0.7850135232069079,898.092783512326,-38672.96828514211,1211327.0317148578
TECHM.NS/MPHASIS.NS,IT,2022-08-19,-1.0,-42.78222073140034,1.0236096332464795,-2953.993660398454,-41626.96194554056,1208373.0380544595
TECHM.NS/MPHASIS.NS,IT,2022-08-22,-1.0,-44.88128934750125,0.918175735094767,17264.97666333595,-24361.985282204612,1225638.0147177954
TECHM.NS/MPHASIS.NS,IT,2022-08-23,-1.0,-21.83808386631199,1.7700221968481484,-5198.2744303208765,-29560.25971252549,1220439.7402874746
